Region_of_Residence,Age,Gender,Monthly_Grocery_Budget,Employment_Status,HH_Income,Total_Kids_inHH,Number_Stores_ShoppedAtPast4Weeks,Year,DemoWeight,BANNER_KEY,BANNER_ShareOfWallet,BANNER_InStoreVisits,BANNER_DeliveryVisits,BANNER_PickUpVisits,BANNER_Recommend,BANNER_Trust,BANNER_UsefulInfo,BANNER_DiscountsCouponsRelevance,BANNER_RightVarietyofProducts,BANNER_QualityProducts,BANNER_CheckOut,BANNER_Staff,BANNER_CleanStore,BANNER_Rewards,BANNER_Location,BANNER_SpeedofShop,BANNER_OnlineShopping,BANNER_OneStopShop,BANNER_OutofStocks,BANNER_NaturalOrganicVariety,BANNER_NewDifferentVariety,BANNER_Fun,BANNER_LocalVariety,BANNER_CommunityConnection,BANNER_BasePrices,BANNER_Tech,BANNER_Advertising,BANNER_BetterForYou,BANNER_LoyaltySaves,BANNER_PrivateBrandSaves,BANNER_DiscountPrevalence,BANNER_DiscountDepth,BANNER_Sustainability,BANNER_Employees,BANNER_Values
2,7,2,600,4,3,1,4,2022,.79,61,10,1,0,0,4,3, ,2,4,4,4,3,4,2,4,4,3,3,4,3,3, ,3,4,3,2,3,3,2,3,3,3, , , 
2,2,2,200,3,3,2,5,2022,1.439,4,20,3,5,0,5,4, ,3,2,4,5,3,3,5,3,3,5,3,3,3,5, ,2,3,4,5,3,3,4,4,3,3, , , 
2,4,2,400,2,2,2,6,2022,.609,3,40,4,3,1,5,4, ,4,4,5,5,5,4,4,5,5,4,5,5,4,5, ,4,4,4,4,4,5,4,4,5,4, , , 
2,4,2,400,2,2,2,6,2022,.609,4,10,3,2,2,5,4, ,5,5,5,4,4,4,4,3,4,4,4,4,4,4, ,4,4,5,4,4,4,4,4,4,4, , , 
3,2,2,250,5,1,2,12,2022,1.524,3,10,1,3,0,5,5, ,5,5,5,5,5,4,5,5,5,5,5,4,5,5, ,5,5,5,5,5,5,4,5,5,5, , , 
3,6,2,500,4,2,1,2,2022,.855,14,90,2,0,3,4,4, ,2,4,3,4,2,4,4,4,4,4,4,4,3,3, ,2,4,3,3,3,2,3,3,3,2, , , 
3,4,2,600,5,2,3,1,2022,.701,61,100,15,0,0,5,3, ,2,5,3,5,4,5,3,5,5,5,5,3,5,5, ,1,5,5,3,4,3,3,5,4,4, , , 
3,3,2,300,1,4,3,2,2022,1.113,31,50,1,0,0,4,5, ,4,4,4,4,3,3,4,4,3,5,3,4,3,4, ,3,4,4,4,3,4,3,3,5,3, , , 
3,3,2,300,1,4,3,2,2022,1.113,61,50,1,1,0,3,4, ,3,3,3,3,4,4,4,3,4,4,4,3,4,3, ,4,3,4,3,4,3,4,4,4,4, , , 
3,4,2,600,6,1,2,4,2022,1.045,10,50,2,0,0,4,4, ,4,4,4,4,4,5,5,4,2,5,4,2,4,5, ,4,4,4,4,5,2,4,3,2,4, , , 
3,4,2,600,6,1,2,4,2022,1.045,15,20,1,0,0,4,5, ,4,4,3,3,3,4,2,4,4,4,2,4,3,3, ,3,4,4,3,3,2,4,3,4,3, , , 
3,2,2,100,2,5,3,3,2022,1.41,61, ,1,0,0,5,5, ,3,3,1,3,3,3,1,5,4,3,1,5,1,1, ,5,1,1,5,1,1,1,5,5,5, , , 
3,3,2,300,7,1,1,3,2022,1.095,15,25,2,0,0,3,3, ,3,3,3,3,3,4,3,3,3,3,3,3,3,4, ,4,4,3,3,3,4,3,3,3,3, , , 
3,5,2,250,6,2,1,4,2022,1.323,31,75,5,0,2,5,5, ,5,5,5,5,5,5,5,5,5,5,5,3,4,5, ,3,3,3,3,5,3,5,5,4,3, , , 
2,5,2,50,1,2,1,3,2022,1.321,3,25,2,0,0,4,5, ,3,4,5,3,4,5,4,4,5,4,4,5,5,5, ,4,5,4,4,5,4,5,5,5,4, , , 
3,7,2,400,4,4,1,3,2022,.94,31,50,4,0,0,5,5, ,5,5,5,5,5,5,5,5,5,4,5,2,4,4, ,3,5,4,3,5,4,5,5,5,5, , , 
3,7,2,400,4,4,1,3,2022,.94,61,40,3,0,0,5,4, ,4,5,5,2,5,5,4,5,4,4,5,3,4,4, ,3,5,3,3,5,4,4,5,4,4, , , 
2,7,2,250,4,1,1,2,2022,.897,31,50,1,3,3,5,5, ,4,4,4,4,4,4,4,5,5,4,4,4,4,5, ,5,4,4,4,5,5,5,5,5,5, , , 
3,6,2,300,6,1,1,3,2022,.988,9,20,4,0,0,3,3, ,3,4,3,3,3,4,4,3,3,1,3,3,3,3, ,3,4,3,2,3,2,4,3,3,2, , , 
3,6,2,300,6,1,1,3,2022,.988,61,70,4,0,3,4,3, ,3,4,3,4,3,4,1,3,3,5,3,3,3,3, ,4,5,3,4,3,2,2,3,3,4, , , 
3,6,2,100,6,2,1,3,2022,.909,31,30,2,0,0,5,5, ,5,5,5,5,5,5,1,5,5,3,3,1,5,5, ,3,5,3,5,5,5,5,5,5,5, , , 
3,6,2,240,1,2,1,2,2022,.82,61,90,1,2,0,5,5, ,5,4,5,5,5,5,1,4,4,5,5,5,5,5, ,1,5,5,5,4,4,1,4,5,5, , , 
3,7,2,350,6,1,1,5,2022,.989,4,30,1,1,0,5,5, ,5,5,5,5,5,3,5,5,5,5,5,1,5,5, ,5,5,5,5,5,5,5,5,5,5, , , 
3,6,2,525,4,2,1,3,2022,1.059,61,90,4,0,4,5,5, ,2,5,4,4,4,5,3,5,4,5,5,4,5,4, ,4,3,4,5,4,4,3,4,4,4, , , 
3,7,2,400,4,2,1,4,2022,.964,3,75,4,0,0,5,5, ,1,5,5,5,5,5,1,5,5,5,4,4,5,5, ,4,5,5,5,5,3,1,5,4,1, , , 
3,7,2,500,4,2,3,3,2022,.822,61,40,1,0,0,5,4, ,2,4,3,2,3,5,1,5,3,1,5,4,3,4, ,3,3,4,3,4,4,2,5,3,3, , , 
4,3,2,300,5,1,2,3,2022,1.055,43,25,100,0,0,4,4, ,5,5,5,5,4,5,4,5,5,4,4,5,5,4, ,3,3,3,5,4,4,5,5,5,5, , , 
4,3,2,300,1,5,2,7,2022,.31,43,30,4,0,1,4,4, ,4,4,4,4,4,4,4,4,4,4,4,5,4,4, ,4,4,4,4,4,3,4,5,5,4, , , 
4,4,2,1000,1,5,1,17,2022,1.003,13,2,100,6,4,3,3, ,3,3,3,3,4,4,3,3,3,3,2,2,3,3, ,3,3,3,2,3,3,4,3,3,3, , , 
2,8,2,100,4,1,1,3,2022,.729,3,20,2,0,0,5,5, ,1,3,5,5,3,5,1,5,5,3,1,5,1,3, ,3,5,5,3,5,5,1,5,5,5, , , 
4,7,2,500,2,3,1,3,2022,1.244,31,20,15,0,0,5,5, ,4,5,5,5,5,5,4,5,5,5,4,4,5,4, ,4,5,4,5,4,5,4,5,5,4, , , 
4,7,2,500,2,3,1,3,2022,1.244,43,5,4,0,0,5,5, ,4,5,5,5,5,5,4,5,5,5,4,4,5,4, ,4,5,4,5,4,5,4,5,5,4, , , 
4,6,2,600,5,8,1,5,2022,1.104,43,10,4,0,0,3,5, ,4,3,3,4,4,5,4,4,4,3,2,3,3,3, ,4,3,3,3,3,3,4,3,4,3, , , 
1,8,2,125,4,2,1,4,2022,.67,8,20,5,0,0,5,5, ,4,5,5,5,5,5,3,5,5,3,3,2,3,4, ,3,4,5,3,5,4,3,5,4,5, , , 
2,5,2,300,1,1,1,2,2022,1.101,3,50,1,2,0,5,5, ,5,5,5,5,5,5,1,5,5,5,5,2,5,5, ,5,5,5,5,5,5,1,5,4,5, , , 
1,4,2,1000,1,7,2,5,2022,1.988,5,20,6,9,12,4,4, ,4,4,4,4,2,3,4,4,4,4,2,2,3,4, ,4,4,4,2,3,3,4,4,4,2, , , 
3,7,2,200,4,2,1,3,2022,.734,3,20,2,0,0,5,5, ,4,4,3,5,3,5,2,5,5,3,2,4,4,5, ,3,4,5,1,4,5,2,5,5,4, , , 
1,4,2,400,8,3,1,8,2022,.891,1,5,2,0,0,5,5, ,3,5,4,5,5,4,1,5,5,3,5,1,4,5, ,4,5,4,3,4,4,3,3,3,4, , , 
1,7,2,100,2,2,1,3,2022,1.073,8,60,6,0,0,4,4, ,4,4,4,4,4,5,4,4,4,4,4,3,4,4, ,3,4,4,4,4,4,3,3,3,4, , , 
4,4,2,200,7,1,1,1,2022,.847,61,100,2,0,2,4,4, ,3,3,3,3,3,3,3,3,4,3,3,3,3,3, ,3,4,4,3,3,3,3,3,3,4, , , 
4,8,2,125,4,3,1,3,2022,.898,43,5,1,0,0,1,3, ,1,1,2,3,1,3,1,5,3,1,1,5,3,1, ,1,1,1,1,1,3,1,3,3,1, , , 
3,6,2,200,5,2,1,5,2022,.855,14,25,2,0,0,5,5, ,3,5,3,3,3,3,3,5,3,3,5,3,3,3, ,3,3,3,5,3,3,3,3,3,3, , , 
3,4,2,500,6,1,1,4,2022,1.066,15,65,2,0,0,5,4, ,5,4,4,3,3,3,4,5,4,3,3,5,4,3, ,3,4,3,3,5,3,3,4,5,4, , , 
4,4,2,50,1,6,3,3,2022,1.205,16,30,5,2,4,4,4, ,5,5,5,4,5,5,5,5,5,5,4,5,5,5, ,5,5,4,5,5,5,5,5,5,5, , , 
4,7,2,180,4,1,1,3,2022,1.035,61,10,1,0,0,4,5, ,4,4,3,4,4,5,1,4,4,3,3,3,3,4, ,4,3,4,3,3,4,2,3,4,4, , , 
4,5,2,800,1,6,1,4,2022,.474,43,25,1,2,1,5,5, ,5,5,5,5,5,5,5,5,5,5,3,5,4,5, ,5,5,5,5,5,3,5,5,5,5, , , 
4,5,2,800,1,6,1,4,2022,.474,5,25,1,2,0,5,5, ,1,4,5,5,5,3,3,1,3,5,3,5,5,5, ,5,5,1,5,3,3,1,3,1,5, , , 
2,5,2,600,6,2,3,2,2022,.741,3,40,4,0,0,5,5, ,5,5,5,5,4,5,3,5,4,3,3,5,4,5, ,3,5,5,5,4,5,4,4,5,5, , , 
4,3,2,1500,1,5,6,8,2022,1.184,43,10,2,2,2,4,4, ,4,4,4,4,4,4,4,4,4,4,4,2,4,4, ,4,4,4,4,4,4,4,4,4,4, , , 
1,7,2,200,6,1,1,3,2022,.902,3,45,1,2,0,5,5, ,2,5,5,4,3,3,3,5,3,5,2,4,5,5, ,5,5,5,5,3,4,3,5,4,5, , , 
1,7,2,200,6,1,1,3,2022,.902,4,30,1,1,0,4,5, ,2,5,5,4,3,3,3,2,3,5,2,4,5,4, ,1,3,3,5,3,4,3,5,2,3, , , 
2,7,2,400,4,2,4,4,2022,1.621,4,50,20,0,0,1,5, ,3,5,5,5,5,5,5,5,3,5,5,1,3,5, ,5,3,5,5,3,3,5,5,5,5, , , 
4,4,2,500,2,1,2,2,2022,.701,61,50,5,0,2,3,4, ,3,4,3,3,2,3,3,3,3,3,2,3,3,3, ,3,4,3,3,3,3,2,3,2,3, , , 
3,6,2,250,8,1,2,3,2022,1.3,31,50,2,4,3,5,5, ,5,5,5,5,5,5,5,5,5,5,5,5,5,5, ,5,5,5,5,5,5,5,5,5,5, , , 
3,4,2,400,1,2,3,4,2022,.77,3,10,3,0,0,5,5, ,4,5,5,5,5,5,5,5,5,5,5,5,5,5, ,1,1,5,5,5,5,1,5,5,5, , , 
3,7,2,400,4,2,1,3,2022,.611,61,10,5,0,0,5,5, ,1,5,4,4,1,5,3,5,5,5,5,5,5,5, ,5,5,5,5,4,3,1,5,5,3, , , 
3,5,2,300,6,1,1,3,2022,1.25,61,25,1,0,0,1,1, ,1,5,2,1,1,1,1,5,1,5,5,5,1,4, ,1,1,2,2,5,1,1,1,1,1, , , 
4,3,2,600,1,2,3,3,2022,.831,10,80,8,0,0,5,5, ,5,5,5,5,5,5,5,5,5,5,5,1,5,5, ,5,5,5,5,5,5,5,5,5,5, , , 
3,5,2,400,2,3,3,3,2022,1.227,10,40,3,0,2,5,3, ,3,4,3,3,2,4,5,3,2,5,1,4,4,3, ,1,3,5,1,3,3,5,5,3,3, , , 
2,6,2,300,6,2,1,1,2022,1.052,4,15,1,2,2,2,2, ,1,3,3,4,3,3,3,1,3,4,1,4,2,3, ,3,1,3,3,3,2,3,2,1,1, , , 
4,4,2,200,2,1,1,2,2022,.847,13,50,1,0,0,3,3, ,3,4,3,3,2,4,3,2,2,3,2,3,4,3, ,2,4,3,3,3,2,3,3,3,3, , , 
4,5,2,400,5,3,1,5,2022,1.528,4,5,6,1,0,4,4, ,3,5,4,5,3,3,3,5,5,5,4,2,5,5, ,3,3,3,5,3,4,4,3,3,4, , , 
3,7,2,600,4,6,1,5,2022,1.407,10,25,2,0,0,5,4, ,4,4,5,4,3,4,5,4,3,5,3,2,4,3, ,3,3,4,4,3,3,4,4,3,4, , , 
1,4,2,400,5,1,3,3,2022,.734,61,80,1,0,4,5,5, ,5,5,5,4,5,5,2,5,5,5,1,1,4,5, ,5,5,5,4,5,4,5,5,5,5, , , 
1,7,2,1200,4,4,1,3,2022,.797,61,25,3,0,0,5,5, ,3,5,5,5,5,5,3,5,5,3,3,2,5,5, ,3,3,3,5,5,5,3,5,5,5, , , 
3,7,2,500,4,2,1,3,2022,.845,31, ,1,0,0,3,4, ,3,1,3,3,3,3,1,1,3,2,3,3,3,2, ,2,1,1,3,3,3,1,3,3,4, , , 
3,7,2,200,4,4,1,3,2022,.904,10,50,4,4,4,5,5, ,5,5,5,5,5,5,5,5,5,5,5,5,5,5, ,5,5,5,5,5,5,5,5,5,5, , , 
3,2,2,300,3,4,2,4,2022,1.028,31,5,2,0,0,4,4, ,4,4,3,3,4,4,4,5,3,4,3,4,4,3, ,2,2,1,3,4,2,4,2,4,3, , , 
